,0
1990-01-01,1940.4
1990-02-01,1932.3
1990-03-01,1923.2
1990-04-01,1914.0
1990-05-01,1909.9
1990-06-01,1905.1
1990-07-01,1898.6
1990-08-01,1893.7
1990-09-01,1886.8
1990-10-01,1880.9
1990-11-01,1873.8
1990-12-01,1870.9
1991-01-01,1860.5
1991-02-01,1853.4
1991-03-01,1845.0
1991-04-01,1834.8
1991-05-01,1826.4
1991-06-01,1815.5
1991-07-01,1806.1
1991-08-01,1796.1
1991-09-01,1785.6
1991-10-01,1775.1
1991-11-01,1764.1
1991-12-01,1751.9
1992-01-01,1742.9
1992-02-01,1731.4
1992-03-01,1720.9
1992-04-01,1716.3
1992-05-01,1713.1
1992-06-01,1708.1
1992-07-01,1704.7
1992-08-01,1698.3
1992-09-01,1696.1
1992-10-01,1689.6
1992-11-01,1684.9
1992-12-01,1679.9
1993-01-01,1677.1
1993-02-01,1673.3
1993-03-01,1670.0
1993-04-01,1666.5
1993-05-01,1661.1
1993-06-01,1654.5
1993-07-01,1646.7
1993-08-01,1646.0
1993-09-01,1643.8
1993-10-01,1643.8
1993-11-01,1644.0
1993-12-01,1643.4
1994-01-01,1645.0
1994-02-01,1644.9
1994-03-01,1647.8
1994-04-01,1648.0
1994-05-01,1646.2
1994-06-01,1648.3
1994-07-01,1648.0
1994-08-01,1652.9
1994-09-01,1656.0
1994-10-01,1653.5
1994-11-01,1657.6
1994-12-01,1661.3
1995-01-01,1663.4
1995-02-01,1666.2
1995-03-01,1666.6
1995-04-01,1672.4
1995-05-01,1676.2
1995-06-01,1682.3
1995-07-01,1688.0
1995-08-01,1693.2
1995-09-01,1703.6
1995-10-01,1709.7
1995-11-01,1717.4
1995-12-01,1722.9
1996-01-01,1729.1
1996-02-01,1735.6
1996-03-01,1738.2
1996-04-01,1741.6
1996-05-01,1744.9
1996-06-01,1746.2
1996-07-01,1748.7
1996-08-01,1752.0
1996-09-01,1752.2
1996-10-01,1754.9
1996-11-01,1758.6
1996-12-01,1760.8
1997-01-01,1763.1
1997-02-01,1768.6
1997-03-01,1775.9
1997-04-01,1784.6
1997-05-01,1791.2
1997-06-01,1800.2
1997-07-01,1809.2
1997-08-01,1817.9
1997-09-01,1821.6
1997-10-01,1831.3
1997-11-01,1835.1
1997-12-01,1842.3
1998-01-01,1848.5
1998-02-01,1847.3
1998-03-01,1851.1
1998-04-01,1847.8
1998-05-01,1846.0
1998-06-01,1841.8
1998-07-01,1832.7
1998-08-01,1827.4
1998-09-01,1820.9
1998-10-01,1811.4
1998-11-01,1801.7
1998-12-01,1793.5
1999-01-01,1783.6
1999-02-01,1781.4
1999-03-01,1780.5
1999-04-01,1781.4
1999-05-01,1781.2
1999-06-01,1783.3
1999-07-01,1778.8
1999-08-01,1776.2
1999-09-01,1779.9
1999-10-01,1778.4
1999-11-01,1781.0
1999-12-01,1781.0
2000-01-01,1782.5
2000-02-01,1785.8
2000-03-01,1784.2
2000-04-01,1787.4
2000-05-01,1792.4
2000-06-01,1803.8
2000-07-01,1832.0
2000-08-01,1844.1
2000-09-01,1846.8
2000-10-01,1855.7
2000-11-01,1861.3
2000-12-01,1864.5
2001-01-01,1873.1
2001-02-01,1864.7
2001-03-01,1852.4
2001-04-01,1823.1
2001-05-01,1795.5
2001-06-01,1761.7
2001-07-01,1729.8
2001-08-01,1703.1
2001-09-01,1678.4
2001-10-01,1658.0
2001-11-01,1632.7
2001-12-01,1612.7
2002-01-01,1588.8
2002-02-01,1571.2
2002-03-01,1554.5
2002-04-01,1544.5
2002-05-01,1530.5
2002-06-01,1515.5
2002-07-01,1501.4
2002-08-01,1482.2
2002-09-01,1468.6
2002-10-01,1458.5
2002-11-01,1442.3
2002-12-01,1430.4
2003-01-01,1412.0
2003-02-01,1398.1
2003-03-01,1389.4
2003-04-01,1376.3
2003-05-01,1363.5
2003-06-01,1353.6
2003-07-01,1340.6
2003-08-01,1333.3
2003-09-01,1328.7
2003-10-01,1325.1
2003-11-01,1322.9
2003-12-01,1318.8
2004-01-01,1319.0
