,0
1990-01-01,4966.0
1990-02-01,4972.3
1990-03-01,4968.8
1990-04-01,4969.3
1990-05-01,4971.0
1990-06-01,4982.5
1990-07-01,4987.8
1990-08-01,4994.1
1990-09-01,4984.4
1990-10-01,4980.2
1990-11-01,4975.9
1990-12-01,4966.8
1991-01-01,4975.0
1991-02-01,4967.5
1991-03-01,4970.8
1991-04-01,4957.2
1991-05-01,4947.3
1991-06-01,4940.7
1991-07-01,4927.9
1991-08-01,4924.7
1991-09-01,4920.1
1991-10-01,4911.1
1991-11-01,4909.6
1991-12-01,4907.3
1992-01-01,4902.9
1992-02-01,4908.7
1992-03-01,4908.8
1992-04-01,4915.4
1992-05-01,4922.5
1992-06-01,4927.0
1992-07-01,4927.1
1992-08-01,4932.5
1992-09-01,4945.1
1992-10-01,4950.8
1992-11-01,4958.9
1992-12-01,4969.9
1993-01-01,4980.5
1993-02-01,4987.3
1993-03-01,4996.6
1993-04-01,5012.1
1993-05-01,5030.7
1993-06-01,5051.5
1993-07-01,5073.5
1993-08-01,5090.6
1993-09-01,5109.4
1993-10-01,5128.8
1993-11-01,5150.1
1993-12-01,5166.7
1994-01-01,5179.2
1994-02-01,5193.9
1994-03-01,5206.7
1994-04-01,5205.7
1994-05-01,5196.6
1994-06-01,5191.5
1994-07-01,5184.3
1994-08-01,5173.5
1994-09-01,5160.3
1994-10-01,5147.3
1994-11-01,5134.7
1994-12-01,5124.2
1995-01-01,5116.0
1995-02-01,5106.6
1995-03-01,5106.9
1995-04-01,5100.7
1995-05-01,5095.9
1995-06-01,5093.9
1995-07-01,5096.5
1995-08-01,5102.7
1995-09-01,5108.2
1995-10-01,5113.4
1995-11-01,5122.7
1995-12-01,5127.0
1996-01-01,5138.5
1996-02-01,5148.0
1996-03-01,5152.2
1996-04-01,5164.3
1996-05-01,5181.5
1996-06-01,5196.0
1996-07-01,5207.9
1996-08-01,5222.5
1996-09-01,5235.1
1996-10-01,5243.0
1996-11-01,5256.3
1996-12-01,5266.2
1997-01-01,5277.9
1997-02-01,5290.9
1997-03-01,5303.4
1997-04-01,5324.1
1997-05-01,5343.2
1997-06-01,5360.6
1997-07-01,5383.5
1997-08-01,5409.1
1997-09-01,5428.4
1997-10-01,5449.5
1997-11-01,5472.3
1997-12-01,5502.2
