,0
1939-01-01,1860.0
1939-02-01,1867.0
1939-03-01,1877.0
1939-04-01,1887.0
1939-05-01,1888.0
1939-06-01,1895.0
1939-07-01,1897.0
1939-08-01,1899.0
1939-09-01,1918.0
1939-10-01,1910.0
1939-11-01,1913.0
1939-12-01,1930.0
1940-01-01,1936.0
1940-02-01,1945.0
1940-03-01,1993.0
1940-04-01,1965.0
1940-05-01,1979.0
1940-06-01,1995.0
1940-07-01,1988.0
1940-08-01,2000.0
1940-09-01,2023.0
1940-10-01,2023.0
1940-11-01,2025.0
1940-12-01,2056.0
1941-01-01,2045.0
1941-02-01,2061.0
1941-03-01,2074.0
1941-04-01,2138.0
1941-05-01,2110.0
1941-06-01,2133.0
1941-07-01,2151.0
1941-08-01,2172.0
1941-09-01,2175.0
1941-10-01,2165.0
1941-11-01,2165.0
1941-12-01,2165.0
1942-01-01,2161.0
1942-02-01,2154.0
1942-03-01,2149.0
1942-04-01,2141.0
1942-05-01,2137.0
1942-06-01,2123.0
1942-07-01,2118.0
1942-08-01,2124.0
1942-09-01,2118.0
1942-10-01,2132.0
1942-11-01,2126.0
1942-12-01,2118.0
1943-01-01,2115.0
1943-02-01,2113.0
1943-03-01,2112.0
1943-04-01,2139.0
1943-05-01,2118.0
1943-06-01,2128.0
1943-07-01,2125.0
1943-08-01,2122.0
1943-09-01,2115.0
1943-10-01,2133.0
1943-11-01,2142.0
1943-12-01,2112.0
1944-01-01,2139.0
1944-02-01,2142.0
1944-03-01,2138.0
1944-04-01,2138.0
1944-05-01,2135.0
1944-06-01,2136.0
1944-07-01,2145.0
1944-08-01,2149.0
1944-09-01,2139.0
1944-10-01,2154.0
1944-11-01,2159.0
1944-12-01,2135.0
1945-01-01,2170.0
1945-02-01,2179.0
1945-03-01,2188.0
1945-04-01,2147.0
1945-05-01,2166.0
1945-06-01,2171.0
1945-07-01,2182.0
1945-08-01,2194.0
1945-09-01,2215.0
1945-10-01,2242.0
1945-11-01,2274.0
1945-12-01,2264.0
1946-01-01,2350.0
1946-02-01,2392.0
1946-03-01,2413.0
1946-04-01,2458.0
1946-05-01,2461.0
1946-06-01,2477.0
1946-07-01,2496.0
1946-08-01,2535.0
1946-09-01,2536.0
1946-10-01,2545.0
1946-11-01,2579.0
1946-12-01,2564.0
1947-01-01,2587.0
1947-02-01,2600.0
1947-03-01,2612.0
1947-04-01,2620.0
1947-05-01,2637.0
1947-06-01,2649.0
1947-07-01,2659.0
1947-08-01,2666.0
1947-09-01,2673.0
1947-10-01,2690.0
1947-11-01,2697.0
1947-12-01,2695.0
1948-01-01,2704.0
1948-02-01,2706.0
1948-03-01,2713.0
1948-04-01,2697.0
1948-05-01,2720.0
1948-06-01,2729.0
1948-07-01,2736.0
1948-08-01,2739.0
1948-09-01,2736.0
1948-10-01,2735.0
1948-11-01,2737.0
1948-12-01,2743.0
1949-01-01,2730.0
1949-02-01,2734.0
1949-03-01,2727.0
1949-04-01,2760.0
1949-05-01,2735.0
1949-06-01,2725.0
1949-07-01,2718.0
1949-08-01,2715.0
1949-09-01,2729.0
1949-10-01,2719.0
1949-11-01,2715.0
1949-12-01,2735.0
1950-01-01,2717.0
1950-02-01,2720.0
1950-03-01,2727.0
1950-04-01,2740.0
1950-05-01,2751.0
1950-06-01,2765.0
1950-07-01,2777.0
1950-08-01,2801.0
1950-09-01,2801.0
1950-10-01,2803.0
1950-11-01,2807.0
1950-12-01,2818.0
1951-01-01,2838.0
1951-02-01,2853.0
1951-03-01,2894.0
1951-04-01,2828.0
1951-05-01,2873.0
1951-06-01,2880.0
1951-07-01,2883.0
1951-08-01,2888.0
1951-09-01,2887.0
1951-10-01,2887.0
1951-11-01,2898.0
1951-12-01,2904.0
1952-01-01,2906.0
1952-02-01,2912.0
1952-03-01,2905.0
1952-04-01,2927.0
1952-05-01,2933.0
1952-06-01,2939.0
1952-07-01,2949.0
1952-08-01,2958.0
1952-09-01,2972.0
1952-10-01,2986.0
1952-11-01,2995.0
1952-12-01,3005.0
1953-01-01,3006.0
1953-02-01,3017.0
1953-03-01,3027.0
1953-04-01,2999.0
1953-05-01,3032.0
1953-06-01,3036.0
1953-07-01,3037.0
1953-08-01,3041.0
1953-09-01,3039.0
1953-10-01,3047.0
1953-11-01,3040.0
1953-12-01,3035.0
1954-01-01,3032.0
1954-02-01,3031.0
1954-03-01,3012.0
1954-04-01,3043.0
1954-05-01,3028.0
1954-06-01,3025.0
1954-07-01,3031.0
1954-08-01,3033.0
1954-09-01,3034.0
1954-10-01,3033.0
1954-11-01,3041.0
1954-12-01,3060.0
1955-01-01,3063.0
1955-02-01,3070.0
1955-03-01,3088.0
1955-04-01,3106.0
1955-05-01,3116.0
1955-06-01,3132.0
1955-07-01,3149.0
1955-08-01,3162.0
1955-09-01,3180.0
1955-10-01,3185.0
1955-11-01,3198.0
1955-12-01,3218.0
1956-01-01,3230.0
1956-02-01,3241.0
1956-03-01,3272.0
1956-04-01,3232.0
1956-05-01,3245.0
1956-06-01,3245.0
1956-07-01,3231.0
1956-08-01,3232.0
1956-09-01,3227.0
1956-10-01,3244.0
1956-11-01,3248.0
1956-12-01,3249.0
1957-01-01,3245.0
1957-02-01,3257.0
1957-03-01,3258.0
1957-04-01,3282.0
1957-05-01,3266.0
1957-06-01,3268.0
1957-07-01,3277.0
1957-08-01,3278.0
1957-09-01,3280.0
1957-10-01,3270.0
1957-11-01,3270.0
1957-12-01,3257.0
1958-01-01,3256.0
1958-02-01,3238.0
1958-03-01,3229.0
1958-04-01,3220.0
1958-05-01,3219.0
1958-06-01,3221.0
1958-07-01,3226.0
1958-08-01,3237.0
1958-09-01,3251.0
1958-10-01,3260.0
1958-11-01,3269.0
1958-12-01,3287.0
1959-01-01,3298.0
1959-02-01,3319.0
1959-03-01,3341.0
1959-04-01,3346.0
1959-05-01,3364.0
1959-06-01,3371.0
1959-07-01,3373.0
1959-08-01,3382.0
1959-09-01,3382.0
1959-10-01,3390.0
1959-11-01,3398.0
1959-12-01,3411.0
1960-01-01,3431.0
1960-02-01,3451.0
1960-03-01,3438.0
1960-04-01,3511.0
1960-05-01,3461.0
1960-06-01,3462.0
1960-07-01,3465.0
1960-08-01,3463.0
1960-09-01,3462.0
1960-10-01,3468.0
1960-11-01,3459.0
1960-12-01,3454.0
1961-01-01,3458.0
1961-02-01,3445.0
1961-03-01,3463.0
1961-04-01,3444.0
1961-05-01,3448.0
1961-06-01,3459.0
1961-07-01,3468.0
1961-08-01,3472.0
1961-09-01,3475.0
1961-10-01,3481.0
1961-11-01,3497.0
1961-12-01,3506.0
1962-01-01,3507.0
1962-02-01,3522.0
1962-03-01,3529.0
1962-04-01,3561.0
1962-05-01,3551.0
1962-06-01,3555.0
1962-07-01,3559.0
1962-08-01,3566.0
1962-09-01,3576.0
1962-10-01,3579.0
1962-11-01,3588.0
1962-12-01,3591.0
1963-01-01,3596.0
1963-02-01,3601.0
1963-03-01,3613.0
1963-04-01,3638.0
1963-05-01,3619.0
1963-06-01,3627.0
1963-07-01,3632.0
1963-08-01,3645.0
1963-09-01,3657.0
1963-10-01,3671.0
1963-11-01,3678.0
1963-12-01,3690.0
1964-01-01,3707.0
1964-02-01,3724.0
1964-03-01,3750.0
1964-04-01,3716.0
1964-05-01,3743.0
1964-06-01,3762.0
1964-07-01,3779.0
1964-08-01,3794.0
1964-09-01,3803.0
1964-10-01,3816.0
1964-11-01,3829.0
1964-12-01,3845.0
1965-01-01,3863.0
1965-02-01,3882.0
1965-03-01,3887.0
1965-04-01,3925.0
1965-05-01,3934.0
1965-06-01,3946.0
1965-07-01,3960.0
1965-08-01,3969.0
1965-09-01,3985.0
1965-10-01,3998.0
1965-11-01,4015.0
1965-12-01,4038.0
1966-01-01,4049.0
1966-02-01,4060.0
1966-03-01,4076.0
1966-04-01,4091.0
1966-05-01,4110.0
1966-06-01,4129.0
1966-07-01,4143.0
1966-08-01,4156.0
1966-09-01,4163.0
1966-10-01,4173.0
1966-11-01,4181.0
1966-12-01,4195.0
1967-01-01,4201.0
1967-02-01,4209.0
1967-03-01,4231.0
1967-04-01,4209.0
1967-05-01,4245.0
1967-06-01,4259.0
1967-07-01,4274.0
1967-08-01,4283.0
1967-09-01,4306.0
1967-10-01,4310.0
1967-11-01,4339.0
1967-12-01,4361.0
1968-01-01,4343.0
1968-02-01,4378.0
1968-03-01,4388.0
1968-04-01,4412.0
1968-05-01,4424.0
1968-06-01,4439.0
1968-07-01,4457.0
1968-08-01,4482.0
1968-09-01,4497.0
1968-10-01,4520.0
1968-11-01,4539.0
1968-12-01,4554.0
1969-01-01,4571.0
1969-02-01,4591.0
1969-03-01,4613.0
1969-04-01,4626.0
1969-05-01,4652.0
1969-06-01,4671.0
1969-07-01,4685.0
1969-08-01,4701.0
1969-09-01,4703.0
1969-10-01,4729.0
1969-11-01,4744.0
1969-12-01,4749.0
1970-01-01,4756.0
1970-02-01,4773.0
1970-03-01,4791.0
1970-04-01,4780.0
1970-05-01,4785.0
1970-06-01,4782.0
1970-07-01,4785.0
1970-08-01,4783.0
1970-09-01,4797.0
1970-10-01,4812.0
1970-11-01,4804.0
1970-12-01,4825.0
1971-01-01,4849.0
1971-02-01,4850.0
1971-03-01,4866.0
1971-04-01,4881.0
1971-05-01,4894.0
1971-06-01,4904.0
1971-07-01,4922.0
1971-08-01,4935.0
1971-09-01,4947.0
1971-10-01,4955.0
1971-11-01,4966.0
1971-12-01,4992.0
1972-01-01,5017.0
1972-02-01,5040.0
1972-03-01,5057.0
1972-04-01,5074.0
1972-05-01,5088.0
1972-06-01,5114.0
1972-07-01,5123.0
1972-08-01,5145.0
1972-09-01,5144.0
1972-10-01,5182.0
1972-11-01,5216.0
1972-12-01,5240.0
1973-01-01,5263.0
1973-02-01,5282.0
1973-03-01,5303.0
1973-04-01,5313.0
1973-05-01,5326.0
1973-06-01,5334.0
1973-07-01,5331.0
1973-08-01,5347.0
1973-09-01,5363.0
1973-10-01,5388.0
1973-11-01,5419.0
1973-12-01,5410.0
1974-01-01,5410.0
1974-02-01,5415.0
1974-03-01,5426.0
1974-04-01,5442.0
1974-05-01,5465.0
1974-06-01,5473.0
1974-07-01,5492.0
1974-08-01,5494.0
1974-09-01,5506.0
1974-10-01,5530.0
1974-11-01,5514.0
1974-12-01,5483.0
1975-01-01,5476.0
1975-02-01,5484.0
1975-03-01,5488.0
1975-04-01,5472.0
1975-05-01,5502.0
1975-06-01,5524.0
1975-07-01,5552.0
1975-08-01,5585.0
1975-09-01,5580.0
1975-10-01,5602.0
1975-11-01,5614.0
1975-12-01,5641.0
1976-01-01,5681.0
1976-02-01,5718.0
1976-03-01,5736.0
1976-04-01,5767.0
1976-05-01,5781.0
1976-06-01,5787.0
1976-07-01,5804.0
1976-08-01,5827.0
1976-09-01,5839.0
1976-10-01,5849.0
1976-11-01,5860.0
1976-12-01,5879.0
1977-01-01,5911.0
1977-02-01,5930.0
1977-03-01,5969.0
1977-04-01,5992.0
1977-05-01,6020.0
1977-06-01,6050.0
1977-07-01,6073.0
1977-08-01,6103.0
1977-09-01,6136.0
1977-10-01,6164.0
1977-11-01,6198.0
1977-12-01,6231.0
1978-01-01,6251.0
1978-02-01,6272.0
1978-03-01,6308.0
1978-04-01,6340.0
1978-05-01,6376.0
1978-06-01,6413.0
1978-07-01,6438.0
1978-08-01,6459.0
1978-09-01,6477.0
1978-10-01,6502.0
1978-11-01,6532.0
1978-12-01,6551.0
1979-01-01,6571.0
1979-02-01,6592.0
1979-03-01,6620.0
1979-04-01,6614.0
1979-05-01,6621.0
1979-06-01,6623.0
1979-07-01,6608.0
1979-08-01,6617.0
1979-09-01,6639.0
1979-10-01,6674.0
1979-11-01,6693.0
1979-12-01,6702.0
1980-01-01,6713.0
1980-02-01,6731.0
1980-03-01,6743.0
1980-04-01,6708.0
1980-05-01,6700.0
1980-06-01,6693.0
1980-07-01,6693.0
1980-08-01,6704.0
1980-09-01,6717.0
1980-10-01,6730.0
1980-11-01,6745.0
1980-12-01,6765.0
1981-01-01,6780.0
1981-02-01,6801.0
1981-03-01,6811.0
1981-04-01,6833.0
1981-05-01,6842.0
1981-06-01,6852.0
1981-07-01,6857.0
1981-08-01,6867.0
1981-09-01,6870.0
1981-10-01,6867.0
1981-11-01,6852.0
1981-12-01,6843.0
1982-01-01,6839.0
1982-02-01,6852.0
