,0
1990-01-01,4513.8
1990-02-01,4542.6
1990-03-01,4558.5
1990-04-01,4565.5
1990-05-01,4568.7
1990-06-01,4582.9
1990-07-01,4584.6
1990-08-01,4587.1
1990-09-01,4571.0
1990-10-01,4576.8
1990-11-01,4568.5
1990-12-01,4560.0
1991-01-01,4545.1
1991-02-01,4538.7
1991-03-01,4532.4
1991-04-01,4528.7
1991-05-01,4516.8
1991-06-01,4526.0
1991-07-01,4524.6
1991-08-01,4531.8
1991-09-01,4544.3
1991-10-01,4544.6
1991-11-01,4546.8
1991-12-01,4549.1
1992-01-01,4557.7
1992-02-01,4563.1
1992-03-01,4568.8
1992-04-01,4579.3
1992-05-01,4595.3
1992-06-01,4600.4
1992-07-01,4597.9
1992-08-01,4609.6
1992-09-01,4618.0
1992-10-01,4632.3
1992-11-01,4638.1
1992-12-01,4651.5
1993-01-01,4667.7
1993-02-01,4682.1
1993-03-01,4689.7
1993-04-01,4689.8
1993-05-01,4698.2
1993-06-01,4707.8
1993-07-01,4712.9
1993-08-01,4719.4
1993-09-01,4734.6
1993-10-01,4747.6
1993-11-01,4760.8
1993-12-01,4768.7
1994-01-01,4775.0
1994-02-01,4779.3
1994-03-01,4786.3
1994-04-01,4806.7
1994-05-01,4812.5
1994-06-01,4824.4
1994-07-01,4852.5
1994-08-01,4869.4
1994-09-01,4895.8
1994-10-01,4909.2
1994-11-01,4932.9
1994-12-01,4957.6
1995-01-01,4992.9
1995-02-01,5018.2
1995-03-01,5045.0
1995-04-01,5061.2
1995-05-01,5078.2
1995-06-01,5102.0
1995-07-01,5116.5
1995-08-01,5138.8
1995-09-01,5155.6
1995-10-01,5170.2
1995-11-01,5188.7
1995-12-01,5207.1
1996-01-01,5223.7
1996-02-01,5248.7
1996-03-01,5276.1
1996-04-01,5281.7
1996-05-01,5306.5
1996-06-01,5328.1
1996-07-01,5342.6
1996-08-01,5369.1
1996-09-01,5392.7
1996-10-01,5415.1
1996-11-01,5442.9
1996-12-01,5464.6
1997-01-01,5489.9
1997-02-01,5524.4
1997-03-01,5552.9
1997-04-01,5592.3
1997-05-01,5609.3
1997-06-01,5638.1
1997-07-01,5667.5
1997-08-01,5702.4
1997-09-01,5732.0
1997-10-01,5762.6
1997-11-01,5791.1
1997-12-01,5826.1
1998-01-01,5852.2
1998-02-01,5884.1
1998-03-01,5920.8
1998-04-01,5947.4
1998-05-01,5991.3
1998-06-01,6016.6
1998-07-01,6044.7
1998-08-01,6066.0
1998-09-01,6093.2
1998-10-01,6113.5
1998-11-01,6148.1
1998-12-01,6177.6
1999-01-01,6204.3
1999-02-01,6228.1
1999-03-01,6256.7
1999-04-01,6296.5
1999-05-01,6327.8
1999-06-01,6372.3
1999-07-01,6403.2
1999-08-01,6428.3
1999-09-01,6460.0
1999-10-01,6488.8
1999-11-01,6510.6
1999-12-01,6535.3
2000-01-01,6574.9
2000-02-01,6602.4
2000-03-01,6620.0
2000-04-01,6645.0
2000-05-01,6672.9
2000-06-01,6721.8
2000-07-01,6748.8
2000-08-01,6780.8
2000-09-01,6815.6
2000-10-01,6841.8
2000-11-01,6873.8
2000-12-01,6898.9
2001-01-01,6925.6
2001-02-01,6954.2
2001-03-01,6981.6
2001-04-01,6961.5
2001-05-01,6948.7
2001-06-01,6940.8
2001-07-01,6929.5
2001-08-01,6902.9
2001-09-01,6867.6
2001-10-01,6834.4
2001-11-01,6796.2
2001-12-01,6773.5
2002-01-01,6751.1
2002-02-01,6722.4
2002-03-01,6693.9
2002-04-01,6682.4
2002-05-01,6701.7
2002-06-01,6688.4
2002-07-01,6673.9
2002-08-01,6679.1
2002-09-01,6667.8
2002-10-01,6669.7
2002-11-01,6644.6
2002-12-01,6591.5
2003-01-01,6633.6
2003-02-01,6669.6
2003-03-01,6638.2
2003-04-01,6643.6
2003-05-01,6630.5
2003-06-01,6618.3
2003-07-01,6594.6
2003-08-01,6594.7
2003-09-01,6626.0
2003-10-01,6639.6
2003-11-01,6664.4
2003-12-01,6664.6
2004-01-01,6679.9
2004-02-01,6689.9
2004-03-01,6715.3
2004-04-01,6730.1
2004-05-01,6747.1
2004-06-01,6778.3
2004-07-01,6785.7
2004-08-01,6805.1
2004-09-01,6829.0
2004-10-01,6868.9
2004-11-01,6867.3
2004-12-01,6897.8
2005-01-01,6923.5
2005-02-01,6956.3
2005-03-01,6968.6
2005-04-01,6992.6
2005-05-01,7011.1
2005-06-01,7047.7
2005-07-01,7073.8
2005-08-01,7112.0
2005-09-01,7134.6
2005-10-01,7158.7
2005-11-01,7187.0
2005-12-01,7210.3
2006-01-01,7247.1
2006-02-01,7267.7
2006-03-01,7311.4
2006-04-01,7341.0
2006-05-01,7365.0
2006-06-01,7396.3
2006-07-01,7434.0
2006-08-01,7458.8
2006-09-01,7462.3
2006-10-01,7474.4
2006-11-01,7511.8
2006-12-01,7527.2
2007-01-01,7562.3
2007-02-01,7592.1
2007-03-01,7611.8
2007-04-01,7642.7
2007-05-01,7676.8
2007-06-01,7698.9
2007-07-01,7714.3
2007-08-01,7733.9
2007-09-01,7774.1
2007-10-01,7791.4
2007-11-01,7809.9
2007-12-01,7849.9
2008-01-01,7861.0
2008-02-01,7859.1
2008-03-01,7857.5
2008-04-01,7867.2
2008-05-01,7862.3
2008-06-01,7869.2
2008-07-01,7857.1
2008-08-01,7845.4
2008-09-01,7839.5
2008-10-01,7831.6
2008-11-01,7815.0
2008-12-01,7772.2
2009-01-01,7716.9
2009-02-01,7675.9
2009-03-01,7626.8
2009-04-01,7597.8
2009-05-01,7558.9
2009-06-01,7522.8
2009-07-01,7505.8
2009-08-01,7492.8
2009-09-01,7489.9
2009-10-01,7483.0
2009-11-01,7480.2
2009-12-01,7474.3
2010-01-01,7465.0
