,0
1990-01-01,937.4
1990-02-01,945.5
1990-03-01,948.6
1990-04-01,950.6
1990-05-01,946.8
1990-06-01,948.7
1990-07-01,948.0
1990-08-01,944.8
1990-09-01,937.4
1990-10-01,936.2
1990-11-01,931.6
1990-12-01,926.9
1991-01-01,923.4
1991-02-01,916.7
1991-03-01,911.5
1991-04-01,909.5
1991-05-01,906.0
1991-06-01,904.0
1991-07-01,902.8
1991-08-01,901.9
1991-09-01,903.7
1991-10-01,901.7
1991-11-01,900.1
1991-12-01,899.4
1992-01-01,900.4
1992-02-01,901.7
1992-03-01,902.0
1992-04-01,901.1
1992-05-01,901.3
1992-06-01,901.1
1992-07-01,900.1
1992-08-01,900.9
1992-09-01,901.0
1992-10-01,901.8
1992-11-01,905.3
1992-12-01,910.3
1993-01-01,913.5
1993-02-01,915.4
1993-03-01,920.7
1993-04-01,918.9
1993-05-01,922.5
1993-06-01,923.8
1993-07-01,924.2
1993-08-01,923.5
1993-09-01,927.0
1993-10-01,928.4
1993-11-01,930.2
1993-12-01,929.7
1994-01-01,929.1
1994-02-01,932.3
1994-03-01,934.7
1994-04-01,938.6
1994-05-01,944.9
1994-06-01,948.9
1994-07-01,955.5
1994-08-01,960.1
1994-09-01,967.9
1994-10-01,968.2
1994-11-01,972.0
1994-12-01,976.1
1995-01-01,984.9
1995-02-01,986.1
1995-03-01,989.0
1995-04-01,992.1
1995-05-01,993.9
1995-06-01,995.0
1995-07-01,997.1
1995-08-01,1000.8
1995-09-01,1003.3
1995-10-01,1006.5
1995-11-01,1011.5
1995-12-01,1011.9
1996-01-01,1011.4
1996-02-01,1012.9
1996-03-01,1016.0
1996-04-01,1019.9
1996-05-01,1020.7
1996-06-01,1024.9
1996-07-01,1023.0
1996-08-01,1027.5
1996-09-01,1032.5
1996-10-01,1034.5
1996-11-01,1038.9
1996-12-01,1038.6
1997-01-01,1042.2
1997-02-01,1048.2
1997-03-01,1052.4
1997-04-01,1055.3
1997-05-01,1056.5
1997-06-01,1059.9
1997-07-01,1063.1
1997-08-01,1068.3
1997-09-01,1072.1
1997-10-01,1078.4
1997-11-01,1080.8
1997-12-01,1087.5
1998-01-01,1091.5
1998-02-01,1093.2
1998-03-01,1098.2
1998-04-01,1102.6
1998-05-01,1108.8
1998-06-01,1117.5
1998-07-01,1120.0
1998-08-01,1123.8
1998-09-01,1126.4
1998-10-01,1129.0
1998-11-01,1134.1
1998-12-01,1138.0
1999-01-01,1141.0
1999-02-01,1146.7
1999-03-01,1151.1
1999-04-01,1157.2
1999-05-01,1161.6
1999-06-01,1166.9
1999-07-01,1173.8
1999-08-01,1174.8
1999-09-01,1177.6
1999-10-01,1185.1
1999-11-01,1191.5
1999-12-01,1197.8
2000-01-01,1208.1
2000-02-01,1214.2
2000-03-01,1218.7
2000-04-01,1223.6
2000-05-01,1229.7
2000-06-01,1240.3
2000-07-01,1243.4
2000-08-01,1248.0
2000-09-01,1253.3
2000-10-01,1256.2
2000-11-01,1258.6
2000-12-01,1265.6
2001-01-01,1273.6
2001-02-01,1279.1
2001-03-01,1278.9
2001-04-01,1279.1
2001-05-01,1279.6
2001-06-01,1281.2
2001-07-01,1281.5
2001-08-01,1280.5
2001-09-01,1275.7
2001-10-01,1270.5
2001-11-01,1263.9
2001-12-01,1258.0
2002-01-01,1257.6
2002-02-01,1252.6
2002-03-01,1251.4
2002-04-01,1248.9
2002-05-01,1249.7
2002-06-01,1246.6
2002-07-01,1244.0
2002-08-01,1244.8
2002-09-01,1241.5
2002-10-01,1241.8
2002-11-01,1240.7
2002-12-01,1239.1
2003-01-01,1226.3
2003-02-01,1234.0
2003-03-01,1230.1
2003-04-01,1227.6
2003-05-01,1225.1
2003-06-01,1219.9
2003-07-01,1223.5
2003-08-01,1221.5
2003-09-01,1228.9
2003-10-01,1227.9
2003-11-01,1228.9
2003-12-01,1232.9
2004-01-01,1232.1
2004-02-01,1236.7
2004-03-01,1243.7
2004-04-01,1251.3
2004-05-01,1255.4
2004-06-01,1258.7
2004-07-01,1260.9
2004-08-01,1263.2
2004-09-01,1265.0
2004-10-01,1275.4
2004-11-01,1277.9
2004-12-01,1284.5
2005-01-01,1277.9
2005-02-01,1284.3
2005-03-01,1287.4
2005-04-01,1293.9
2005-05-01,1297.7
2005-06-01,1307.1
2005-07-01,1311.5
2005-08-01,1320.5
2005-09-01,1330.4
2005-10-01,1335.2
2005-11-01,1345.4
2005-12-01,1346.3
2006-01-01,1348.6
2006-02-01,1358.1
2006-03-01,1368.9
2006-04-01,1374.5
2006-05-01,1382.2
2006-06-01,1387.5
2006-07-01,1396.0
2006-08-01,1403.0
2006-09-01,1402.8
2006-10-01,1401.8
2006-11-01,1405.9
2006-12-01,1408.4
2007-01-01,1416.5
2007-02-01,1421.0
2007-03-01,1424.1
2007-04-01,1424.7
2007-05-01,1431.1
2007-06-01,1434.2
2007-07-01,1434.8
2007-08-01,1434.4
2007-09-01,1438.1
2007-10-01,1443.5
2007-11-01,1443.8
2007-12-01,1449.4
2008-01-01,1451.8
2008-02-01,1453.6
2008-03-01,1451.8
2008-04-01,1450.7
2008-05-01,1448.8
2008-06-01,1449.6
